Grapheme	SCA	Frequency	Codepoint	UnicodeName
́		338	U+0301	COMBINING ACUTE ACCENT
̀		126	U+0300	COMBINING GRAVE ACCENT
̆		83	U+0306	COMBINING BREVE
̂		88	U+0302	COMBINING CIRCUMFLEX ACCENT
̌		153	U+030C	COMBINING CARON
̊		24	U+030A	COMBINING RING ABOVE
̈		139	U+0308	COMBINING DIAERESIS
̃		1283	U+0303	COMBINING TILDE
̇		20	U+0307	COMBINING DOT ABOVE
̧		244	U+0327	COMBINING CEDILLA
̄		9191	U+0304	COMBINING MACRON
͞		20	U+035E	COMBINING DOUBLE MACRON
̍		39	U+030D	COMBINING VERTICAL LINE ABOVE
͔		1015	U+0354	COMBINING LEFT ARROWHEAD BELOW
̬		1314	U+032C	COMBINING CARON BELOW
̯		587	U+032F	COMBINING INVERTED BREVE BELOW
͟		7318	U+035F	COMBINING DOUBLE MACRON BELOW
͕		238	U+0355	COMBINING RIGHT ARROWHEAD BELOW
̩		519	U+0329	COMBINING VERTICAL LINE BELOW
̷		220	U+0337	COMBINING SHORT SOLIDUS OVERLAY
̵		91	U+0335	COMBINING SHORT STROKE OVERLAY
̑		8	U+0311	COMBINING INVERTED BREVE
̣		124	U+0323	COMBINING DOT BELOW
̤		56	U+0324	COMBINING DIAERESIS BELOW
̥		224	U+0325	COMBINING RING BELOW
̭		2116	U+032D	COMBINING CIRCUMFLEX ACCENT BELOW
̮		103	U+032E	COMBINING BREVE BELOW
̱		41	U+0331	COMBINING MACRON BELOW
 	 	6344	U+0020	SPACE
:		479	U+003A	COLON
.		512	U+002E	FULL STOP
…		5	U+2026	HORIZONTAL ELLIPSIS
'		26649	U+0027	APOSTROPHE
’		4562	U+2019	RIGHT SINGLE QUOTATION MARK
(		401	U+0028	LEFT PARENTHESIS
)		400	U+0029	RIGHT PARENTHESIS
/		293	U+002F	SOLIDUS
\		605	U+005C	REVERSE SOLIDUS
ˌ		118	U+02CC	MODIFIER LETTER LOW VERTICAL LINE
△		219	U+25B3	WHITE UP-POINTING TRIANGLE
a	A	10830	U+0061	LATIN SMALL LETTER A
A	A	5526	U+0041	LATIN CAPITAL LETTER A
æ	A	671	U+00E6	LATIN SMALL LETTER AE
ɑ	A	6079	U+0251	LATIN SMALL LETTER ALPHA
b	P	5875	U+0062	LATIN SMALL LETTER B
c	C	426	U+0063	LATIN SMALL LETTER C
d	T	5688	U+0064	LATIN SMALL LETTER D
ð	D	70	U+00F0	LATIN SMALL LETTER ETH
e	E	9457	U+0065	LATIN SMALL LETTER E
E	E	1486	U+0045	LATIN CAPITAL LETTER E
ɇ	E	315	U+0247	LATIN SMALL LETTER E WITH STROKE
ǝ	E	6941	U+01DD	LATIN SMALL LETTER TURNED E
f	B	2157	U+0066	LATIN SMALL LETTER F
g	K	3515	U+0067	LATIN SMALL LETTER G
ɣ	G	1009	U+0263	LATIN SMALL LETTER GAMMA
h	H	2006	U+0068	LATIN SMALL LETTER H
ʰ	H	1852	U+02B0	MODIFIER LETTER SMALL H
i	I	11345	U+0069	LATIN SMALL LETTER I
ɨ	I	956	U+0268	LATIN SMALL LETTER I WITH STROKE
j	J	3766	U+006A	LATIN SMALL LETTER J
ɉ	C	40	U+0249	LATIN SMALL LETTER J WITH STROKE
k	K	10104	U+006B	LATIN SMALL LETTER K
l	L	10294	U+006C	LATIN SMALL LETTER L
ł	L	356	U+0142	LATIN SMALL LETTER L WITH STROKE
ʎ	L	472	U+028E	LATIN SMALL LETTER TURNED Y
m	M	6228	U+006D	LATIN SMALL LETTER M
n	N	9541	U+006E	LATIN SMALL LETTER N
ɲ	N	439	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK
ŋ	N	741	U+014B	LATIN SMALL LETTER ENG
o	U	7924	U+006F	LATIN SMALL LETTER O
ø	O	755	U+00F8	LATIN SMALL LETTER O WITH STROKE
œ	O	288	U+0153	LATIN SMALL LIGATURE OE
ɔ	U	4215	U+0254	LATIN SMALL LETTER OPEN O
p	P	5664	U+0070	LATIN SMALL LETTER P
q	K	184	U+0071	LATIN SMALL LETTER Q
r	R	13863	U+0072	LATIN SMALL LETTER R
R	R	611	U+0052	LATIN CAPITAL LETTER R
s	S	9946	U+0073	LATIN SMALL LETTER S
ʃ	S	4708	U+0283	LATIN SMALL LETTER ESH
t	T	12164	U+0074	LATIN SMALL LETTER T
u	Y	8731	U+0075	LATIN SMALL LETTER U
ʉ	Y	151	U+0289	LATIN SMALL LETTER U BAR
ɥ	W	41	U+0265	LATIN SMALL LETTER TURNED H
v	W	3686	U+0076	LATIN SMALL LETTER V
ʌ	O	671	U+028C	LATIN SMALL LETTER TURNED V
w	W	1473	U+0077	LATIN SMALL LETTER W
ʷ	W	35	U+02B7	MODIFIER LETTER SMALL W
x	G	1328	U+0078	LATIN SMALL LETTER X
y	Y	1169	U+0079	LATIN SMALL LETTER Y
z	S	2347	U+007A	LATIN SMALL LETTER Z
ƶ	S	56	U+01B6	LATIN SMALL LETTER Z WITH STROKE
ʒ	S	1216	U+0292	LATIN SMALL LETTER EZH
ˀ	H	1164	U+02C0	MODIFIER LETTER GLOTTAL STOP
β	B	523	U+03B2	GREEK SMALL LETTER BETA
δ	D	397	U+03B4	GREEK SMALL LETTER DELTA
ε	E	5106	U+03B5	GREEK SMALL LETTER EPSILON
θ	D	345	U+03B8	GREEK SMALL LETTER THETA
φ	B	5	U+03C6	GREEK SMALL LETTER PHI
Ω	U	518	U+03A9	GREEK CAPITAL LETTER OMEGA
